655 - Local Param 04,id,original,status,updated_term,extraneous_text,confidence,error
Paper evidence (Paper) Hahnemu?hle Ingres. rbpap,2126,Paper evidence (Paper) Hahnemu?hle Ingres. rbpap,,,"Paper evidence (Paper) Hahnemuhle Ingres, rbpap",0.0,no_match / variant encoding
Paper evidence (Paper) Inbe Thick. rbpap,2127,Paper evidence (Paper) Inbe Thick. rbpap,,,"Paper evidence (Paper) Inbe Thick, rbpap",0.0,no_match
Paper evidence (Paper) Lexpar Legal Parchment. rbpap,2128,Paper evidence (Paper) Lexpar Legal Parchment. rbpap,,Parchment (Paper),"Lexpar Legal Parchment, rbpap",0.6,best-effort mapping to 'Parchment (Paper)'
Paper evidence (Paper) Moulin du Gue?. rbpap,2129,Paper evidence (Paper) Moulin du Gue?. rbpap,,,"Paper evidence (Paper) Moulin du Gue, rbpap",0.0,no_match / corrupted diacritic
Paper evidence (Paper) Nepalese Lokta. rbpap,2130,Paper evidence (Paper) Nepalese Lokta. rbpap,,Handmade papers,"Nepalese Lokta, rbpap",0.65,best-effort mapping to 'Handmade papers'
Paper evidence (Paper) Old Masters. rbpap,2131,Paper evidence (Paper) Old Masters. rbpap,,,"Paper evidence (Paper) Old Masters, rbpap",0.0,no_match
Paper evidence (Paper) Phoenix Imperial Halbmatt Naturweiss. rbpap,2132,Paper evidence (Paper) Phoenix Imperial Halbmatt Naturweiss. rbpap,,,"Paper evidence (Paper) Phoenix Imperial Halbmatt Naturweiss, rbpap",0.0,no_match
Paper evidence (Paper) Tuckenhay. rbpap,2133,Paper evidence (Paper) Tuckenhay. rbpap,,,"Paper evidence (Paper) Tuckenhay, rbpap",0.0,no_match
Paper evidence (Paper) Uda-gami. rbpap,2134,Paper evidence (Paper) Uda-gami. rbpap,,,"Paper evidence (Paper) Uda-gami, rbpap",0.0,no_match
Paper evidence (Paper) Velin d'Arches. rbpap,2135,Paper evidence (Paper) Velin d'Arches. rbpap,,Vellum printings,"Velin d'Arches, rbpap",0.6,best-effort mapping to 'Vellum printings' or 'Vellum (Paper)'
Paper evidence (Paper) Zanders Elephant Hide. rbpap,2136,Paper evidence (Paper) Zanders Elephant Hide. rbpap,,,"Paper evidence (Paper) Zanders Elephant Hide, rbpap",0.0,no_match
Paper evidence (Paper) Zerkall Book. rbpap,2137,Paper evidence (Paper) Zerkall Book. rbpap,,,"Paper evidence (Paper) Zerkall Book, rbpap",0.0,no_match
Paper evidence Arches Cover 250g. rbpap,2138,Paper evidence Arches Cover 250g. rbpap,,,"Paper evidence Arches Cover 250g, rbpap",0.0,no_match
Paperback originals (Publishing) rbpub,2139,Paperback originals (Publishing) rbpub,,Paperback originals,"(Publishing), rbpub",1.0,
Paperback originals. rbmscv,2140,Paperback originals. rbmscv,,Paperback originals,rbmscv,1.0,
Paperbacks (Publishing) England London 1982. rbpub,2141,Paperbacks (Publishing) England London 1982. rbpub,,Paperbacks,"(Publishing) England London 1982, rbpub",1.0,
Paperbacks (Publishing) Pennsylvania Lewisburg 1975. rbpub,2142,Paperbacks (Publishing) Pennsylvania Lewisburg 1975. rbpub,,Paperbacks,"(Publishing) Pennsylvania Lewisburg 1975, rbpub",1.0,
Paperbacks (Publishing) rbpub,2143,Paperbacks (Publishing) rbpub,,Paperbacks,"(Publishing), rbpub",1.0,
Paperbacks. rbmscv,2144,Paperbacks. rbmscv,,Paperbacks,rbmscv,1.0,
Parables. rbgenr,,,,,,,
Parodies 1894. rbgenr,2146,Parodies 1894. rbgenr,,Parodies,"1894, rbgenr",1.0,
Parodies England London 19th century. rbgenr,2147,Parodies England London 19th century. rbgenr,,Parodies,"England London 19th century, rbgenr",1.0,
Part books. rbgenr,2148,Part books. rbgenr,,Part books,rbgenr,1.0,
Parts (Publishing) rbpub,2149,Parts (Publishing) rbpub,,Parts (Publishing),rbpub,1.0,
Parts (Publishing). rbmscv,2150,Parts (Publishing). rbmscv,,Parts (Publishing),rbmscv,1.0,
Paste paper bindings (Binding) rbbin MMeT,2151,Paste paper bindings (Binding) rbbin MMeT,,Paste paper bindings,"(Binding), rbbin, MMeT",1.0,
Paste papers (Binding) United States 21st century. rbbin,2152,Paste papers (Binding) United States 21st century. rbbin,,Paste papers,"(Binding) United States 21st century, rbbin",0.9,
Paste papers (Paper). rbpap,2153,Paste papers (Paper). rbpap,,Paste papers,"(Paper), rbpap",1.0,
Pasteboard (Binding) 18th century. rbbin,2154,Pasteboard (Binding) 18th century. rbbin,,Pasteboard,"(Binding) 18th century, rbbin",1.0,
Pasteboard (Binding) rbbin MMeT,2155,Pasteboard (Binding) rbbin MMeT,,Pasteboard,"(Binding), rbbin, MMeT",1.0,
Pasteboard. rbmscv MMeT,2156,Pasteboard. rbmscv MMeT,,Pasteboard,"rbmscv, MMeT",0.95,
Pataphysical literature France 20th century. rbgenr,2157,Pataphysical literature France 20th century. rbgenr,,Pataphysical literature,"France 20th century, rbgenr",1.0,
Periodicals 18th century. rbgenr,2158,Periodicals 18th century. rbgenr,,Periodicals,"18th century, rbgenr",1.0,
Periodicals England 19th century. rbgenr,2159,Periodicals England 19th century. rbgenr,,Periodicals,"England 19th century, rbgenr",1.0,
Periodicals Massachusetts Boston. rbgenr,2160,Periodicals Massachusetts Boston. rbgenr,,Periodicals,"Massachusetts Boston, rbgenr",1.0,
Periodicals Massachusetts Boston. rbmscv,2161,Periodicals Massachusetts Boston. rbmscv,,Periodicals,"Massachusetts Boston, rbmscv",1.0,
Periodicals Massachusetts Cambridge. rbgenr,2162,Periodicals Massachusetts Cambridge. rbgenr,,Periodicals,"Massachusetts Cambridge, rbgenr",1.0,
Periodicals New York (State) East Aurora. rbgenr,2163,Periodicals New York (State) East Aurora. rbgenr,,Periodicals,"New York (State) East Aurora, rbgenr",1.0,
Periodicals New York (State) New York 21st century. rbgenr,2164,Periodicals New York (State) New York 21st century. rbgenr,,Periodicals,"New York (State) New York 21st century, rbgenr",1.0,
Periodicals New York (State). rbmscv,2165,Periodicals New York (State). rbmscv,,Periodicals,"New York (State), rbmscv",1.0,
Periodicals New York New York. rbgenr,2166,Periodicals New York New York. rbgenr,,Periodicals,"New York New York, rbgenr",1.0,
Periodicals. rbgenr,2167,Periodicals. rbgenr,,Periodicals,rbgenr,1.0,
Periodicals. rbmscv,2168,Periodicals. rbmscv,,Periodicals,rbmscv,1.0,
Perodicals England London 1980. rbgenr,2169,Perodicals England London 1980. rbgenr,,Periodicals,"England London 1980, rbgenr",0.7,typo in original (Perodicals -> Periodicals)
Pharmacopoeias England London 18th century. rbgenr,2170,Pharmacopoeias England London 18th century. rbgenr,,Pharmacopoeias,"England London 18th century, rbgenr",1.0,
Pharmacopoeias France Lyon 16th century. rbgenr,,,,,,,
Photographic facsimiles (Publishing) rbpub,2171,Photographic facsimiles (Publishing) rbpub,,Photographic facsimiles,"(Publishing), rbpub",1.0,
Photographic facsimiles (Publishing) StSaUL. rbpub,2172,Photographic facsimiles (Publishing) StSaUL. rbpub,,Photographic facsimiles,"(Publishing) StSaUL, rbpub",0.9,
Photographic facsmiles (Publishing) California San Marino 20th century. rbpub,2173,Photographic facsmiles (Publishing) California San Marino 20th century. rbpub,,Photographic facsimiles,"(Publishing) California San Marino 20th century, rbpub",0.8,typo in original (facsmiles)
Picaresque fiction England 18th century. rbgenr,2174,Picaresque fiction England 18th century. rbgenr,,Picaresque literature,"England 18th century, rbgenr",0.9,
Picaresque literature France 18th century. rbgenr,2175,Picaresque literature France 18th century. rbgenr,,Picaresque literature,"France 18th century, rbgenr",1.0,
Pictorial bindings (Binding) rbmscv,2176,Pictorial bindings (Binding) rbmscv,,Pictorial bindings,"(Binding), rbmscv",1.0,
Pictorial bindings. rbmscv,2177,Pictorial bindings. rbmscv,,Pictorial bindings,rbmscv,1.0,
Pictorial bindings. rbmscv MMeT,2178,Pictorial bindings. rbmscv MMeT,,Pictorial bindings,"rbmscv, MMeT",0.95,
Pictorial cloth bindings (Binding) 19th century. rbgenr,2179,Pictorial cloth bindings (Binding) 19th century. rbgenr,,Pictorial cloth bindings,"(Binding) 19th century, rbgenr",1.0,
Pictorial cloth bindings (Binding) New York (State) New York 1936. rbgenr,2180,Pictorial cloth bindings (Binding) New York (State) New York 1936. rbgenr,,Pictorial cloth bindings,"(Binding) New York (State) New York 1936, rbgenr",1.0,
Pictorial cloth bindings (Binding) rbmscv,2181,Pictorial cloth bindings (Binding) rbmscv,,Pictorial cloth bindings,"(Binding), rbmscv",1.0,
Pictorial cloth bindings (Binding) United States 1897. rbmscv,2182,Pictorial cloth bindings (Binding) United States 1897. rbmscv,,Pictorial cloth bindings,"(Binding) United States 1897, rbmscv",1.0,
Pictorial cloth bindings (Binding) United States. rbbin,2183,Pictorial cloth bindings (Binding) United States. rbbin,,Pictorial cloth bindings,"(Binding) United States, rbbin",0.95,
Pictorial cloth bindings. rbmscv,2184,Pictorial cloth bindings. rbmscv,,Pictorial cloth bindings,rbmscv,1.0,
Picture novels. rbgenr,2185,Picture novels. rbgenr,,Picture novels,rbgenr,1.0,
Pigskin bindings (Binding) 15th century. rbbin MMeT,2186,Pigskin bindings (Binding) 15th century. rbbin MMeT,,Pigskin bindings,"(Binding) 15th century, rbbin, MMeT",1.0,
Pigskin bindings (Binding) 16th century. rbbin MMeT,2187,Pigskin bindings (Binding) 16th century. rbbin MMeT,,Pigskin bindings,"(Binding) 16th century, rbbin, MMeT",1.0,
Pigskin bindings (Binding) Germany 16th century. rbbin MMeT,2188,Pigskin bindings (Binding) Germany 16th century. rbbin MMeT,,Pigskin bindings,"(Binding) Germany 16th century, rbbin, MMeT",1.0,
Pigskin bindings (Binding) Germany 17th century. rbbin MMeT,2189,Pigskin bindings (Binding) Germany 17th century. rbbin MMeT,,Pigskin bindings,"(Binding) Germany 17th century, rbbin, MMeT",1.0,
Pigskin bindings (Binding) rbbin,,,,,,,
Pigskin bindings (Binding) rbbin MMeT,,,,,,,
Piracies (Publishing) Taiwan 20th century. rbpub,2190,Piracies (Publishing) Taiwan 20th century. rbpub,,Piracies,"(Publishing) Taiwan 20th century, rbpub",0.9,
Playbills England London. rbgenr,2191,Playbills England London. rbgenr,,Playbills,"England London, rbgenr",1.0,
Playbills. rbgenr,2192,Playbills. rbgenr,,Playbills,rbgenr,1.0,
Plays [1924]. rbgenr,2193,Plays [1924]. rbgenr,,Plays,"1924, rbgenr",1.0,
Plays 1714. rbgenr,2194,Plays 1714. rbgenr,,Plays,"1714, rbgenr",1.0,
Plays 1764. rbgenr,2195,Plays 1764. rbgenr,,Plays,"1764, rbgenr",1.0,
Plays 1765. rbgenr,2196,Plays 1765. rbgenr,,Plays,"1765, rbgenr",1.0,
Plays 1773. rbgenr,2197,Plays 1773. rbgenr,,Plays,"1773, rbgenr",1.0,
Plays 1774. rbgenr,2198,Plays 1774. rbgenr,,Plays,"1774, rbgenr",1.0,
Plays 1775. rbgenr,2199,Plays 1775. rbgenr,,Plays,"1775, rbgenr",1.0,
Plays 1776. rbgenr,2200,Plays 1776. rbgenr,,Plays,"1776, rbgenr",1.0,
Plays 1777. rbgenr,2201,Plays 1777. rbgenr,,Plays,"1777, rbgenr",1.0,
Plays 1785. rbgenr,2202,Plays 1785. rbgenr,,Plays,"1785, rbgenr",1.0,
Plays 1788. rbmscv,2203,Plays 1788. rbmscv,,Plays,"1788, rbmscv",1.0,
Plays 1789. rbgenr,2204,Plays 1789. rbgenr,,Plays,"1789, rbgenr",1.0,
Plays 1793. rbgenr,2205,Plays 1793. rbgenr,,Plays,"1793, rbgenr",1.0,
Plays 1793. rbmscv,2206,Plays 1793. rbmscv,,Plays,"1793, rbmscv",1.0,
Plays 1794. rbgenr,2207,Plays 1794. rbgenr,,Plays,"1794, rbgenr",1.0,
Plays 1795. rbgenr,2208,Plays 1795. rbgenr,,Plays,"1795, rbgenr",1.0,
Plays 1795. rbmscv,2209,Plays 1795. rbmscv,,Plays,"1795, rbmscv",1.0,
Plays 1797. rbgenr,2210,Plays 1797. rbgenr,,Plays,"1797, rbgenr",1.0,
Plays 1798. rbgenr,2211,Plays 1798. rbgenr,,Plays,"1798, rbgenr",1.0,
Plays 1798. rbmscv,2212,Plays 1798. rbmscv,,Plays,"1798, rbmscv",1.0,
Plays 1800. rbgenr,2213,Plays 1800. rbgenr,,Plays,"1800, rbgenr",1.0,
Plays 1845. rbgenr,2214,Plays 1845. rbgenr,,Plays,"1845, rbgenr",1.0,
Plays 1846. rbgenr,2215,Plays 1846. rbgenr,,Plays,"1846, rbgenr",1.0,
Plays 1864. rbgenr,2216,Plays 1864. rbgenr,,Plays,"1864, rbgenr",1.0,
Plays 1924. rbgenr,2217,Plays 1924. rbgenr,,Plays,"1924, rbgenr",1.0,
Plays England 16th century. rbgenr,2218,Plays England 16th century. rbgenr,,Plays,"England 16th century, rbgenr",1.0,
Plays England London 20th century. rbgenr,2219,Plays England London 20th century. rbgenr,,Plays,"England London 20th century, rbgenr",1.0,
Plays English 19th century. rbgenr,2220,Plays English 19th century. rbgenr,,Plays,"English 19th century, rbgenr",1.0,
Plays English 20th century. rbgenr,2221,Plays English 20th century. rbgenr,,Plays,"English 20th century, rbgenr",1.0,
Plays German 18th century. rbgenr,2222,Plays German 18th century. rbgenr,,Plays,"German 18th century, rbgenr",1.0,
Plays Ireland 20th century. rbgenr,2223,Plays Ireland 20th century. rbgenr,,Plays,"Ireland 20th century, rbgenr",1.0,
Plays New Jersey Newark 20th century. rbgenr,2224,Plays New Jersey Newark 20th century. rbgenr,,Plays,"New Jersey Newark 20th century, rbgenr",1.0,
Plays New York (State) New York 20th century. rbgenr,2225,Plays New York (State) New York 20th century. rbgenr,,Plays,"New York (State) New York 20th century, rbgenr",1.0,
Plays Spain 20th century. rbgenr,2226,Plays Spain 20th century. rbgenr,,Plays,"Spain 20th century, rbgenr",1.0,
Plays. rbgenr,2227,Plays. rbgenr,,Plays,rbgenr,1.0,
Plays. rbmscv,2228,Plays. rbmscv,,Plays,rbmscv,1.0,
Poems 14th century. rbgenr,2229,Poems 14th century. rbgenr,,Poems,"14th century, rbgenr",1.0,
Poems 1668. rbgenr,2230,Poems 1668. rbgenr,,Poems,"1668, rbgenr",1.0,
Poems 1670. rbgenr,2231,Poems 1670. rbgenr,,Poems,"1670, rbgenr",1.0,
Poems 1682. rbgenr,2232,Poems 1682. rbgenr,,Poems,"1682, rbgenr",1.0,
Poems 1685. rbgenr,2233,Poems 1685. rbgenr,,Poems,"1685, rbgenr",1.0,
Poems 1689. rbgenr,2234,Poems 1689. rbgenr,,Poems,"1689, rbgenr",1.0,
Poems 1692. rbgenr,2235,Poems 1692. rbgenr,,Poems,"1692, rbgenr",1.0,
Poems 1702. rbgenr,2236,Poems 1702. rbgenr,,Poems,"1702, rbgenr",1.0,
Poems 1707. rbgenr,2237,Poems 1707. rbgenr,,Poems,"1707, rbgenr",1.0,
Poems 1711. rbgenr,2238,Poems 1711. rbgenr,,Poems,"1711, rbgenr",1.0,
Poems 1715. rbgenr,2239,Poems 1715. rbgenr,,Poems,"1715, rbgenr",1.0,
Poems 1717. rbgenr,2240,Poems 1717. rbgenr,,Poems,"1717, rbgenr",1.0,
Poems 1719. rbgenr,2241,Poems 1719. rbgenr,,Poems,"1719, rbgenr",1.0,
Poems 1729. rbgenr,2242,Poems 1729. rbgenr,,Poems,"1729, rbgenr",1.0,
Poems 1745. rbgenr,2243,Poems 1745. rbgenr,,Poems,"1745, rbgenr",1.0,
Poems 1750. rbgenr,2244,Poems 1750. rbgenr,,Poems,"1750, rbgenr",1.0,
Poems 1754. rbgenr,2245,Poems 1754. rbgenr,,Poems,"1754, rbgenr",1.0,
Poems 1755. rbgenr,2246,Poems 1755. rbgenr,,Poems,"1755, rbgenr",1.0,
Poems 1756. rbgenr,2247,Poems 1756. rbgenr,,Poems,"1756, rbgenr",1.0,
Poems 1757. rbgenr,2248,Poems 1757. rbgenr,,Poems,"1757, rbgenr",1.0,
Poems 1758. rbgenr,2249,Poems 1758. rbgenr,,Poems,"1758, rbgenr",1.0,
Poems 1759. rbgenr,2250,Poems 1759. rbgenr,,Poems,"1759, rbgenr",1.0,
Poems 1762. rbgenr,2251,Poems 1762. rbgenr,,Poems,"1762, rbgenr",1.0,
Poems 1763. rbgenr,2252,Poems 1763. rbgenr,,Poems,"1763, rbgenr",1.0,
Poems 1764. rbgenr,2253,Poems 1764. rbgenr,,Poems,"1764, rbgenr",1.0,
Poems 1766. rbgenr,2254,Poems 1766. rbgenr,,Poems,"1766, rbgenr",1.0,
Poems 1767. rbgenr,2255,Poems 1767. rbgenr,,Poems,"1767, rbgenr",1.0,
Poems 1768. rbgenr,2256,Poems 1768. rbgenr,,Poems,"1768, rbgenr",1.0,
Poems 1769. rbgenr,2257,Poems 1769. rbgenr,,Poems,"1769, rbgenr",1.0,
Poems 1769. rbmscv,2258,Poems 1769. rbmscv,,Poems,"1769, rbmscv",1.0,
Poems 1770. rbgenr,2259,Poems 1770. rbgenr,,Poems,"1770, rbgenr",1.0,
Poems 1771. rbgenr,2260,Poems 1771. rbgenr,,Poems,"1771, rbgenr",1.0,
Poems 1772. rbgenr,2261,Poems 1772. rbgenr,,Poems,"1772, rbgenr",1.0,
Poems 1773. rbgenr,2262,Poems 1773. rbgenr,,Poems,"1773, rbgenr",1.0,
Poems 1775. rbgenr,2263,Poems 1775. rbgenr,,Poems,"1775, rbgenr",1.0,
Poems 1775. rbmscv,2264,Poems 1775. rbmscv,,Poems,"1775, rbmscv",1.0,
Poems 1776. rbgenr,2265,Poems 1776. rbgenr,,Poems,"1776, rbgenr",1.0,
Poems 1777. rbgenr,2266,Poems 1777. rbgenr,,Poems,"1777, rbgenr",1.0,
Poems 1777. rbmscv,2267,Poems 1777. rbmscv,,Poems,"1777, rbmscv",1.0,
Poems 1778. rbgenr,2268,Poems 1778. rbgenr,,Poems,"1778, rbgenr",1.0,
Poems 1779. rbgenr,2269,Poems 1779. rbgenr,,Poems,"1779, rbgenr",1.0,
Poems 1780. rbgenr,2270,Poems 1780. rbgenr,,Poems,"1780, rbgenr",1.0,
Poems 1781. rbgenr,2271,Poems 1781. rbgenr,,Poems,"1781, rbgenr",1.0,
Poems 1782. rbgenr,2272,Poems 1782. rbgenr,,Poems,"1782, rbgenr",1.0,
Poems 1783. rbgenr,2273,Poems 1783. rbgenr,,Poems,"1783, rbgenr",1.0,
Poems 1784. rbgenr,2274,Poems 1784. rbgenr,,Poems,"1784, rbgenr",1.0,
Poems 1785. rbgenr,2275,Poems 1785. rbgenr,,Poems,"1785, rbgenr",1.0,
Poems 1786. rbgenr,2276,Poems 1786. rbgenr,,Poems,"1786, rbgenr",1.0,
Poems 1787. rbgenr,2277,Poems 1787. rbgenr,,Poems,"1787, rbgenr",1.0,
Poems 1788. rbgenr,2278,Poems 1788. rbgenr,,Poems,"1788, rbgenr",1.0,
Poems 1788. rbmscv,2279,Poems 1788. rbmscv,,Poems,"1788, rbmscv",1.0,
Poems 1789. rbgenr,2280,Poems 1789. rbgenr,,Poems,"1789, rbgenr",1.0,
Poems 1790. rbgenr,2281,Poems 1790. rbgenr,,Poems,"1790, rbgenr",1.0,
Poems 1791. rbgenr,2282,Poems 1791. rbgenr,,Poems,"1791, rbgenr",1.0,
Poems 1792. rbgenr,2283,Poems 1792. rbgenr,,Poems,"1792, rbgenr",1.0,
Poems 1792. rbmscv,2284,Poems 1792. rbmscv,,Poems,"1792, rbmscv",1.0,
Poems 1793. rbgenr,2285,Poems 1793. rbgenr,,Poems,"1793, rbgenr",1.0,
Poems 1793. rbmscv,2286,Poems 1793. rbmscv,,Poems,"1793, rbmscv",1.0,
Poems 1794. rbgenr,,,,,,,
Poems 1795. rbgenr,,,,,,,
Poems 1795. rbmscv,,,,,,,
Poems 1796. rbgenr,,,,,,,
Poems 1797. rbgenr,,,,,,,
Poems 1798. rbgenr,,,,,,,
Poems 1798. rbmscv,,,,,,,
Poems 1799. rbgenr,,,,,,,
Poems 1800. rbgenr,,,,,,,
Poems 1807. rbgenr,,,,,,,
Poems 1809. rbgenr,,,,,,,
Poems 1810. rbgenr,,,,,,,
Poems 1814. rbgenr,,,,,,,
Poems 1822. rbgenr,,,,,,,
Poems 1823. rbgenr,,,,,,,
Poems 1827. rbgenr,,,,,,,
Poems 1828. rbgenr,,,,,,,
Poems 1829. rbgenr,,,,,,,
Poems 1832. rbgenr,,,,,,,
Poems 1833. rbgenr,,,,,,,
Poems 1834. rbgenr,,,,,,,
Poems 1836. rbgenr,,,,,,,
Poems 1838. rbgenr,,,,,,,
Poems 1839. rbgenr,,,,,,,
Poems 1855. rbgenr,,,,,,,
Poems 1876. rbgenr,,,,,,,
Poems 20th century Women authors. rbgenr,,,,,,,
Poems 20th century. rbgenr,,,,,,,
Poems 21st century. rbgenr,,,,,,,
Poems American 20th century. rbgenr,,,,,,,
Poems California San Francisco 20th century. rbgenr,,,,,,,
Poems California San Francisco 20th century. rbmscv,,,,,,,
Poems California Santa Rosa 1998. rbgenr,,,,,,,
Poems Connecticut New Haven 1951. rbgenr,,,,,,,
Poems England 18th century. rbgenr,,,,,,,
Poems England London 1713. rbgenr,,,,,,,
Poems England London 1965. rbgenr,,,,,,,
Poems England London 1972. rbgenr,,,,,,,
Poems England London 1982. rbgenr,,,,,,,
Poems England Oxford 1976. rbgenr,,,,,,,
Poems England Oxford 1980. rbgenr,,,,,,,
Poems English 18th century. rbgenr,,,,,,,
Poems English 19th century. rbgenr,,,,,,,
Poems English 20th century. rbgenr,,,,,,,
Poems Greek 16th century. rbgenr,,,,,,,
Poems Illinois Urbana 20th century. rbgenr,,,,,,,
Poems Iowa 20th century. rbgenr,,,,,,,
Poems Latin 17th century. rbgenr,,,,,,,
Poems Latin 19th century. rbgenr,,,,,,,
Poems Massachusetts Boston 19th century. rbgenr,,,,,,,
Poems Michigan Detroit 20th century. rbgenr,,,,,,,
Poems New Jersey Newark 20th century. rbgenr,,,,,,,
Poems New Mexico Albuquerque 20th century. rbgenr,,,,,,,
Poems New York (State) New Rochelle 20th century. rbgenr,,,,,,,
Poems New York (State) New York 1969. rbgenr,,,,,,,
Poems New York (State) New York 1979. rbgenr,,,,,,,
Poems New York (State) New York 1984. rbgenr,,,,,,,
Poems New York (State) New York 1987. rbgenr,,,,,,,
Poems New York (State) New York 1996. rbgenr,,,,,,,
Poems New York (State) New York 1998. rbgenr,,,,,,,
Poems New York (State) New York 20th century. rbgenr,,,,,,,
Poems New York (State) New York 20th century. rbmscv,,,,,,,
Poems North Carolina 20th century. rbgenr,,,,,,,
Poems North Carolina Highlands 1962. rbgenr,,,,,,,
Poems Pennsylvania Pittsburgh 20th century. rbgenr,,,,,,,
Poems United States 20th century. rbgenr,,,,,,,
Poems Wisconsin 20th century. rbgenr,,,,,,,
Poems. New York (State) New York 1980. rbgenr,,,,,,,
Poems. rbgenr,,,,,,,
Poems. rbmscv,,,,,,,
Poems. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00203,,,,,,,
Point sizes (Type evidence) 16 point. rbtyp,2287,Point sizes (Type evidence) 16 point. rbtyp,matched,Point sizes (Type evidence) 16 point,rbtyp,0.95,
Prayer books. rbgenr,2288,Prayer books. rbgenr,matched,Prayer books,rbgenr,1.0,
Prayer books. rbmscv,,,,,,,
Prayers. rbgenr,2289,Prayers. rbgenr,matched,Prayers,rbgenr,1.0,
Prayers. rbmscv,,,,,,,
Presentation copies. rbmscv MMeT,2290,Presentation copies. rbmscv MMeT,matched,Presentation copies,"rbmscv, MMeT",1.0,
Presentation inscriptions (Provenance) rbprov MMeT,2291,Presentation inscriptions (Provenance) rbprov MMeT,matched,Presentation inscriptions,"(Provenance), rbprov, MMeT",1.0,
Presentation inscriptions. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00182,2292,Presentation inscriptions. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00182,matched,Presentation inscriptions,"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00182",0.92,
Presentation inscriptions. rbmscv MMeT,2293,Presentation inscriptions. rbmscv MMeT,matched,Presentation inscriptions,"rbmscv, MMeT",0.9,
Presentation inscriptions. rbmscv MWA,2294,Presentation inscriptions. rbmscv MWA,matched,Presentation inscriptions,"rbmscv, MWA",0.9,
Press figures (Printing) England 18th century. rbpri,2295,Press figures (Printing) England 18th century. rbpri,matched,Press figures,"(Printing) England 18th century, rbpri",1.0,
Press figures (Printing) England 18th century. WaPS. rbpri,,,,,,,
Press figures (Printing) rbmscv,2296,Press figures (Printing) rbmscv,matched,Press figures,rbmscv,1.0,
Press figures (Printing) rbpri,2297,Press figures (Printing) rbpri,matched,Press figures,rbpri,1.0,
Press figures (Printing). rbpri,2298,Press figures (Printing). rbpri,matched,Press figures,rbpri,0.95,
Prices (Publishing) United States 1978. rbpub,2299,Prices (Publishing) United States 1978. rbpub,matched,Prices (Publishing),"United States 1978, rbpub",0.9,
Primers (Instructional books) 1719. rbgenr,2300,Primers (Instructional books) 1719. rbgenr,matched,Primers (Instructional books),"1719, rbgenr",1.0,
Primers (Instructional books) 1771. rbgenr,2301,Primers (Instructional books) 1771. rbgenr,matched,Primers (Instructional books),"1771, rbgenr",1.0,
Primers (Instructional books) 1773. rbgenr,2302,Primers (Instructional books) 1773. rbgenr,matched,Primers (Instructional books),"1773, rbgenr",1.0,
Primers (Instructional books) 1775. rbgenr,2303,Primers (Instructional books) 1775. rbgenr,matched,Primers (Instructional books),"1775, rbgenr",1.0,
Primers (Instructional books) 1779. rbgenr,2304,Primers (Instructional books) 1779. rbgenr,matched,Primers (Instructional books),"1779, rbgenr",1.0,
Primers (Instructional books) 1782. rbgenr,2305,Primers (Instructional books) 1782. rbgenr,matched,Primers (Instructional books),"1782, rbgenr",1.0,
Primers (Instructional books) 1785. rbgenr,2306,Primers (Instructional books) 1785. rbgenr,matched,Primers (Instructional books),"1785, rbgenr",1.0,
Primers (Instructional books) 1786. rbgenr,2307,Primers (Instructional books) 1786. rbgenr,matched,Primers (Instructional books),"1786, rbgenr",1.0,
Primers (Instructional books) 1787. rbgenr,2308,Primers (Instructional books) 1787. rbgenr,matched,Primers (Instructional books),"1787, rbgenr",1.0,
Primers (Instructional books) 1789. rbgenr,2309,Primers (Instructional books) 1789. rbgenr,matched,Primers (Instructional books),"1789, rbgenr",1.0,
Primers (Instructional books) 1790. rbgenr,2310,Primers (Instructional books) 1790. rbgenr,matched,Primers (Instructional books),"1790, rbgenr",1.0,
Primers (Instructional books) 1794. rbgenr,2311,Primers (Instructional books) 1794. rbgenr,matched,Primers (Instructional books),"1794, rbgenr",1.0,
Primers (Instructional books) 1795. rbgenr,2312,Primers (Instructional books) 1795. rbgenr,matched,Primers (Instructional books),"1795, rbgenr",1.0,
Primers (Instructional books) 1796. rbgenr,2313,Primers (Instructional books) 1796. rbgenr,matched,Primers (Instructional books),"1796, rbgenr",1.0,
Primers (Instructional books) 1798. rbgenr,2314,Primers (Instructional books) 1798. rbgenr,matched,Primers (Instructional books),"1798, rbgenr",1.0,
Princeton copy 1 Authors' presentation copies. rbmscv NjP,2315,Princeton copy 1 Authors' presentation copies. rbmscv NjP,matched,Authors' presentation copies,"rbmscv, NjP",0.9,
Princeton copy 1 Dust jackets. rbmscv NjP,2316,Princeton copy 1 Dust jackets. rbmscv NjP,matched,Dust jackets,"rbmscv, NjP",0.9,
Printed paper binding labels. rbmscv,,,,,,,
Printed paper bindings (Binding) 18th century. rbbin MMeT,2318,Printed paper bindings (Binding) 18th century. rbbin MMeT,matched,Printed paper bindings,"(Binding) 18th century, rbbin, MMeT",1.0,
Printed paper bindings (Binding) rbbin MMeT,2319,Printed paper bindings (Binding) rbbin MMeT,matched,Printed paper bindings,"(Binding), rbbin, MMeT",1.0,
