id	original	status	updated_term	extraneous_text	confidence	error	GenreTerms
330,Artists' books Cuba Matanzas 21st century. rbgenr,,Artists' books,"Cuba Matanzas 21st century, rbgenr",0.88,
331,Artists' books Cuba Matanzas. rbgenr,,Artists' books,"Cuba Matanzas, rbgenr",0.88,
332,Artists' books Cuba. rbgenr,,Artists' books,"Cuba, rbgenr",0.88,
333,Artists' books England 2000. rbgenr,,Artists' books,"England 2000, rbgenr",0.88,
334,Artists' books England 2016 rbgenr,,Artists' books,"England 2016, rbgenr",0.88,
335,Artists' books England 20th century rbgenr,,Artists' books,"England 20th century, rbgenr",0.88,
336,Artists' books England 21st century rbgenr,,Artists' books,"England 21st century, rbgenr",0.88,
337,Artists' books England 21st century. rbgenr,,Artists' books,"England 21st century, rbgenr",0.88,
338,Artists' books England London 1977. rbgenr,,Artists' books,"England London 1977, rbgenr",0.88,
339,Artists' books England London 2003. rbgenr,,Artists' books,"England London 2003, rbgenr",0.88,
340,Artists' books England London 2007. rbgenr,,Artists' books,"England London 2007, rbgenr",0.88,
341,Artists' books England London 2010. rbgenr,,Artists' books,"England London 2010, rbgenr",0.88,
342,Artists' books England London 2015. rbgenr,,Artists' books,"England London 2015, rbgenr",0.88,
343,Artists' books England London 2017. rbgenr,,Artists' books,"England London 2017, rbgenr",0.88,
344,Artists' books England London 2018. rbgenr,,Artists' books,"England London 2018, rbgenr",0.88,
345,Artists' books England London 21st century. rbgenr,,Artists' books,"England London 21st century, rbgenr",0.88,
346,Artists' books England London. rbgenr,,Artists' books,"England London, rbgenr",0.88,
347,Artists' books Florida 2022. rbgenr,,Artists' books,"Florida 2022, rbgenr",0.88,
348,Artists' books Florida 21st century. rbgenr,,Artists' books,"Florida 21st century, rbgenr",0.88,
349,Artists' books Florida Fort Lauderdale 2020. rbgenr,,Artists' books,"Florida Fort Lauderdale 2020, rbgenr",0.88,
350,Artists' books Florida Gainesville 2010. rbgenr,,Artists' books,"Florida Gainesville 2010, rbgenr",0.88,
351,Artists' books Florida Gainesville 2019. rbgenr,,Artists' books,"Florida Gainesville 2019, rbgenr",0.88,
352,Artists' books Florida Gainesville 2020. rbmscv,,Artists' books,"Florida Gainesville 2020, rbmscv",0.88,
353,Artists' books Florida Gainesville. rbgenr,,Artists' books,"Florida Gainesville, rbgenr",0.88,
354,Artists' books Florida Gainsville 2018. rbgenr,,Artists' books,"Florida Gainsville 2018, rbgenr",0.70,possible typo (Gainsville -> Gainesville)
355,Artists' books Florida Miami 2015. rbgenr,,Artists' books,"Florida Miami 2015, rbgenr",0.88,
356,Artists' books Florida Saint Augustine 2021. rbgenr,,Artists' books,"Florida Saint Augustine 2021, rbgenr",0.88,
357,Artists' books Florida Sarasota. rbgenr,,Artists' books,"Florida Sarasota, rbgenr",0.88,
358,Artists' books Florida Tallahassee 2018. rbgenr,,Artists' books,"Florida Tallahassee 2018, rbgenr",0.88,
359,Artists' books Florida Tallahassee 2022. rbgenr,,Artists' books,"Florida Tallahassee 2022, rbgenr",0.88,
360,Artists' books Florida Tallahassee. rbgenr,,Artists' books,"Florida Tallahassee, rbgenr",0.88,
361,Artists' books Florida. rbgenr,,Artists' books,"Florida, rbgenr",0.88,
362,Artists' books France 21st century rbgenr,,Artists' books,"France 21st century, rbgenr",0.88,
363,Artists' books France 21st century. rbgenr,,Artists' books,"France 21st century, rbgenr",0.88,
364,Artists' books France Atelier Saint-Go 2014. rbgenr,,Artists' books,"France Atelier Saint-Go 2014, rbgenr",0.88,
365,Artists' books France Paris 2014. rbgenr,,Artists' books,"France Paris 2014, rbgenr",0.88,
366,Artists' books France. rbgenr,,Artists' books,"France, rbgenr",0.88,
367,Artists' books Georgia 1990-1999. rbgenr,,Artists' books,"Georgia 1990-1999, rbgenr",0.88,
368,Artists' books Georgia 1996. rbgenr,,Artists' books,"Georgia 1996, rbgenr",0.88,
369,Artists' books Georgia 2018. rbgenr,,Artists' books,"Georgia 2018, rbgenr",0.88,
370,Artists' books Georgia 20th century rbgenr,,Artists' books,"Georgia 20th century, rbgenr",0.88,
371,Artists' books Georgia 20th century. rbgenr,,Artists' books,"Georgia 20th century, rbgenr",0.88,
372,Artists' books Georgia Atlanta 1999. rbgenr,,Artists' books,"Georgia Atlanta 1999, rbgenr",0.88,
373,Artists' books Georgia Atlanta. rbgenr,,Artists' books,"Georgia Atlanta, rbgenr",0.88,
374,Artists' books Georgia. rbgenr,,Artists' books,"Georgia, rbgenr",0.88,
375,Artists' books Germany 20th century rbgenr,,Artists' books,"Germany 20th century, rbgenr",0.88,
376,Artists' books Germany 21st century. rbgenr,,Artists' books,"Germany 21st century, rbgenr",0.88,
377,Artists' books Germany Dessau 2001. rbgenr,,Artists' books,"Germany Dessau 2001, rbgenr",0.88,
378,Artists' books Germany Karlsruhe 2018. rbgenr,,Artists' books,"Germany Karlsruhe 2018, rbgenr",0.88,
379,Artists' books Great Britain 2001. rbgenr,,Artists' books,"Great Britain 2001, rbgenr",0.88,
380,Artists' books Great Britain London 2000. rbgenr,,Artists' books,"Great Britain London 2000, rbgenr",0.88,
381,Artists' books Illinois 20th century. rbgenr,,Artists' books,"Illinois 20th century, rbgenr",0.88,
382,Artists' books Illinois 21st century rbgenr,,Artists' books,"Illinois 21st century, rbgenr",0.88,
383,Artists' books Illinois 21st century. rbgenr,,Artists' books,"Illinois 21st century, rbgenr",0.88,
384,Artists' books Illinois Chicago 1985. rbgenr,,Artists' books,"Illinois Chicago 1985, rbgenr",0.88,
385,Artists' books Illinois Chicago 1999. rbgenr,,Artists' books,"Illinois Chicago 1999, rbgenr",0.88,
386,Artists' books Illinois Chicago 2011. rbgenr,,Artists' books,"Illinois Chicago 2011, rbgenr",0.88,
387,Artists' books Illinois Chicago 2016. rbgenr,,Artists' books,"Illinois Chicago 2016, rbgenr",0.88,
388,Artists' books Illinois Chicago 2017. rbgenr,,Artists' books,"Illinois Chicago 2017, rbgenr",0.88,
389,Artists' books Illinois Chicago 2019. rbgenr,,Artists' books,"Illinois Chicago 2019, rbgenr",0.88,
390,Artists' books Illinois Chicago 2022. rbgenr,,Artists' books,"Illinois Chicago 2022, rbgenr",0.88,
391,Artists' books Illinois Chicago. rbgenr,,Artists' books,"Illinois Chicago, rbgenr",0.88,
392,Artists' books Illinois Glenview 2018. rbgenr,,Artists' books,"Illinois Glenview 2018, rbgenr",0.88,
393,Artists' books Illinois. rbgenr,,Artists' books,"Illinois, rbgenr",0.88,
394,Artists' books India 21st century rbgenr,,Artists' books,"India 21st century, rbgenr",0.88,
395,Artists' books Indiana Bloomington 2017. rbgenr,,Artists' books,"Indiana Bloomington 2017, rbgenr",0.88,
396,Artists' books Iowa Iowa City 1990. rbgenr,,Artists' books,"Iowa Iowa City 1990, rbgenr",0.88,
397,Artists' books Iowa Iowa City 2012. rbgenr,,Artists' books,"Iowa Iowa City 2012, rbgenr",0.88,
398,Artists' books Iowa Iowa City 2013. rbgenr,,Artists' books,"Iowa Iowa City 2013, rbgenr",0.88,
399,Artists' books Iowa Iowa City 2014. rbgenr,,Artists' books,"Iowa Iowa City 2014, rbgenr",0.88,
400,Artists' books Ireland 21st century. rbgenr,,Artists' books,"Ireland 21st century, rbgenr",0.88,
401,Artists' books Italy . rbgenr,,Artists' books,"Italy, rbgenr",0.88,
402,Artists' books Italy 2007. rbgenr,,Artists' books,"Italy 2007, rbgenr",0.88,
403,Artists' books Italy 2010. rbgenr,,Artists' books,"Italy 2010, rbgenr",0.88,
404,Artists' books Italy 2011. rbgenr,,Artists' books,"Italy 2011, rbgenr",0.88,
405,Artists' books Italy 2013. rbgenr,,Artists' books,"Italy 2013, rbgenr",0.88,
406,Artists' books Italy 2013. rbmscv,,Artists' books,"Italy 2013, rbmscv",0.88,
407,Artists' books Italy 20th century. rbgenr,,Artists' books,"Italy 20th century, rbgenr",0.88,
408,Artists' books Italy Bologna 1991. rbgenr,,Artists' books,"Italy Bologna 1991, rbgenr",0.88,
409,Artists' books Italy Bologna 1992. rbgenr,,Artists' books,"Italy Bologna 1992, rbgenr",0.88,
410,Artists' books Italy Bologna 2012. rbgenr,,Artists' books,"Italy Bologna 2012, rbgenr",0.88,
411,Artists' books Italy Bologna 2013. rbgenr,,Artists' books,"Italy Bologna 2013, rbgenr",0.88,
412,Artists' books Italy Bologna 2016. rbgenr,,Artists' books,"Italy Bologna 2016, rbgenr",0.88,
413,Artists' books Italy Bologna 21st century. rbgenr,,Artists' books,"Italy Bologna 21st century, rbgenr",0.88,
414,Artists' books Italy Bologna. rbgenr,,Artists' books,"Italy Bologna, rbgenr",0.88,
415,Artists' books Japan Tokyo 2020. rbgenr,,Artists' books,"Japan Tokyo 2020, rbgenr",0.88,
416,Artists' books Korea 21st century. rbgenr,,Artists' books,"Korea 21st century, rbgenr",0.88,
417,Artists' books Latin America 2010-2019. rbgenr,,Artists' books,"Latin America 2010-2019, rbgenr",0.88,
418,Artists' books Latin America 21st century. rbgenr,,Artists' books,"Latin America 21st century, rbgenr",0.88,
419,Artists' books Latin America. rbgenr,,Artists' books,"Latin America, rbgenr",0.88,
420,Artists' books Lebanon 2010-2019. rbgenr,,Artists' books,"Lebanon 2010-2019, rbgenr",0.88,
421,Artists' books Luxembourg Luxembourg 2003. rbgenr,,Artists' books,"Luxembourg Luxembourg 2003, rbgenr",0.88,
422,Artists' books Maine Rockport. rbgenr,,Artists' books,"Maine Rockport, rbgenr",0.88,
423,Artists' books Maryland 1991. rbgenr,,Artists' books,"Maryland 1991, rbgenr",0.88,
424,Artists' books Maryland 2019. rbgenr,,Artists' books,"Maryland 2019, rbgenr",0.88,
425,Artists' books Massachusetts 1988. rbgenr,,Artists' books,"Massachusetts 1988, rbgenr",0.88,
426,Artists' books Massachusetts 20th century. rbgenr,,Artists' books,"Massachusetts 20th century, rbgenr",0.88,
427,Artists' books Massachusetts 21st century rbgenr,,Artists' books,"Massachusetts 21st century, rbgenr",0.88,
428,Artists' books Massachusetts Boston 2003. rbgenr,,Artists' books,"Massachusetts Boston 2003, rbgenr",0.88,
429,Artists' books Massachusetts Boston 2004. rbgenr,,Artists' books,"Massachusetts Boston 2004, rbgenr",0.88,
430,Artists' books Massachusetts Boston 2005. rbgenr,,Artists' books,"Massachusetts Boston 2005, rbgenr",0.88,
431,Artists' books Massachusetts Boston 2008. rbgenr,,Artists' books,"Massachusetts Boston 2008, rbgenr",0.88,
432,Artists books Massachusetts Boston 20th century. rbgenr,,Artists' books,"Massachusetts Boston 20th century, rbgenr",0.75,minor variant (Artists books -> Artists' books)
433,Artists' books Massachusetts Boston. rbgenr,,Artists' books,"Massachusetts Boston, rbgenr",0.88,
434,Artists' books Massachusetts Somerville 2022. rbgenr,,Artists' books,"Massachusetts Somerville 2022, rbgenr",0.88,
435,Artists' books Massachusetts Somerville 21st century. rbgenr,,Artists' books,"Massachusetts Somerville 21st century, rbgenr",0.88,
436,Artists' books Massachusetts Somerville. rbgenr,,Artists' books,"Massachusetts Somerville, rbgenr",0.88,
437,Artists' books Massachusetts West Stockbridge 1998. rbgenr,,Artists' books,"Massachusetts West Stockbridge 1998, rbgenr",0.88,
438,Artists' books Massachusetts. rbgenr,,Artists' books,"Massachusetts, rbgenr",0.88,
439,Artists' books Mexico 2010-2019. rbgenr,,Artists' books,"Mexico 2010-2019, rbgenr",0.88,
440,Artists' books Mexico 21st century. rbgenr,,Artists' books,"Mexico 21st century, rbgenr",0.88,
441,Artists' books Mexico 21st century. rbmscv,,Artists' books,"Mexico 21st century, rbmscv",0.88,
442,Artists' books Mexico Guadalajara 2020. rbgenr,,Artists' books,"Mexico Guadalajara 2020, rbgenr",0.88,
443,Artists' books Mexico. rbgenr,,Artists' books,"Mexico, rbgenr",0.88,
444,Artists' books Minnesota 2011. rbgenr,,Artists' books,"Minnesota 2011, rbgenr",0.88,
445,Artists' books Minnesota Saint Paul 2018. rbgenr,,Artists' books,"Minnesota Saint Paul 2018, rbgenr",0.88,
446,Artists' books Minnesota St. Paul 2018. rbgenr,,Artists' books,"Minnesota St. Paul 2018, rbgenr",0.88,
447,Artists' books Mississippi Starkville 2009. rbgenr,,Artists' books,"Mississippi Starkville 2009, rbgenr",0.88,
448,Artists' books Netherlands 2020. rbgenr,,Artists' books,"Netherlands 2020, rbgenr",0.88,
449,Artists' books Netherlands 20th century. rbgenr,,Artists' books,"Netherlands 20th century, rbgenr",0.88,
450,Artists' books Netherlands 21st century. rbgenr,,Artists' books,"Netherlands 21st century, rbgenr",0.88,
451,Artists' books Netherlands Amsterdam 2016. rbgenr,,Artists' books,"Netherlands Amsterdam 2016, rbgenr",0.88,
452,Artists' books Nevada 2013. rbgenr,,Artists' books,"Nevada 2013, rbgenr",0.88,
453,Artists' books Nevada Reno 2016. rbgenr,,Artists' books,"Nevada Reno 2016, rbgenr",0.88,
454,Artists' books Nevada Reno. rbgenr,,Artists' books,"Nevada Reno, rbgenr",0.88,
455,Artists' books New Hampshire 2012. rbgenr,,Artists' books,"New Hampshire 2012, rbgenr",0.88,
456,Artists' books New Hampshire 21st century. rbgenr,,Artists' books,"New Hampshire 21st century, rbgenr",0.88,
457,Artists' books New Jersey 21st century. rbgenr,,Artists' books,"New Jersey 21st century, rbgenr",0.88,
458,Artists' books New Jersey Plainsboro 2004. rbgenr,,Artists' books,"New Jersey Plainsboro 2004, rbgenr",0.88,
459,Artists' books New Mexico Santa Fe. rbgenr,,Artists' books,"New Mexico Santa Fe, rbgenr",0.88,
460,Artists' books New York (N.Y.) 1990. rbgenr,,Artists' books,"New York (N.Y.) 1990, rbgenr",0.88,
461,Artists' books New York (New York State) Brooklyn 2010. rbgenr,,Artists' books,"New York (State) Brooklyn 2010, rbgenr",0.88,
462,Artists' books New York (State) 1979. rbgenr,,Artists' books,"New York (State) 1979, rbgenr",0.88,
463,Artists' books New York (State) 1983. rbgenr,,Artists' books,"New York (State) 1983, rbgenr",0.88,
464,Artists' books New York (State) 1991. rbgenr,,Artists' books,"New York (State) 1991, rbgenr",0.88,
465,Artists' books New York (State) 1993. rbgenr,,Artists' books,"New York (State) 1993, rbgenr",0.88,
466,Artists' books New York (State) 1997. rbgenr,,Artists' books,"New York (State) 1997, rbgenr",0.88,
467,Artists' books New York (State) 1999. rbgenr,,Artists' books,"New York (State) 1999, rbgenr",0.88,
468,Artists' books New York (State) 2017. rbgenr,,Artists' books,"New York (State) 2017, rbgenr",0.88,
469,Artists' books New York (State) 2018. rbgenr,,Artists' books,"New York (State) 2018, rbgenr",0.88,
470,Artists' books New York (State) 2019. rbgenr,,Artists' books,"New York (State) 2019, rbgenr",0.88,
471,Artists' books New York (State) 2020. rbgenr,,Artists' books,"New York (State) 2020, rbgenr",0.88,
472,Artists' books New York (State) 2020-2029. rbgenr,,Artists' books,"New York (State) 2020-2029, rbgenr",0.88,
473,Artists' books New York (State) 2021. rbgenr,,Artists' books,"New York (State) 2021, rbgenr",0.88,
474,Artists' books New York (State) 20th century. rbgenr,,Artists' books,"New York (State) 20th century, rbgenr",0.88,
475,Artists' books New York (State) 21st century rbgenr,,Artists' books,"New York (State) 21st century, rbgenr",0.88,
476,Artists' books New York (State) 21st century. rbgenr,,Artists' books,"New York (State) 21st century, rbgenr",0.88,
477,Artists' books New York (State) Brooklyn 1979. rbgenr,,Artists' books,"New York (State) Brooklyn 1979, rbgenr",0.88,
478,Artists' books New York (State) Brooklyn 2010. rbgenr,,Artists' books,"New York (State) Brooklyn 2010, rbgenr",0.88,
479,Artist's books New York (State) New Paltz 2010. rbgenr,,Artists' books,"New York (State) New Paltz 2010, rbgenr",0.75,minor variant (Artist's -> Artists')
480,Artists' books New York (State) New York 1933. rbgenr,,Artists' books,"New York (State) New York 1933, rbgenr",0.88,
481,Artists' books New York (State) New York 1969. rbgenr,,Artists' books,"New York (State) New York 1969, rbgenr",0.88,
482,Artists' books New York (State) New York 1977. rbgenr,,Artists' books,"New York (State) New York 1977, rbgenr",0.88,
483,Artists' books New York (State) New York 1988. rbgenr,,Artists' books,"New York (State) New York 1988, rbgenr",0.88,
484,Artists' books New York (State) New York 1995. rbgenr,,Artists' books,"New York (State) New York 1995, rbgenr",0.88,
485,Artists' books New York (State) New York 2001. rbgenr,,Artists' books,"New York (State) New York 2001, rbgenr",0.88,
486,Artists' books New York (State) New York 2010. rbgenr,,Artists' books,"New York (State) New York 2010, rbgenr",0.88,
487,Artists' books New York (State) New York 2011. rbgenr,,Artists' books,"New York (State) New York 2011, rbgenr",0.88,
488,Artists' books New York (State) New York 2013. rbgenr,,Artists' books,"New York (State) New York 2013, rbgenr",0.88,
489,Artists' books New York (State) New York 2015. rbgenr,,Artists' books,"New York (State) New York 2015, rbgenr",0.88,
490,Artists' books New York (State) New York 2016. rbgenr,,Artists' books,"New York (State) New York 2016, rbgenr",0.88,
491,Artists' books New York (State) New York 2017. rbgenr,,Artists' books,"New York (State) New York 2017, rbgenr",0.88,
492,Artists' books New York (State) New York 2018. rbgenr,,Artists' books,"New York (State) New York 2018, rbgenr",0.88,
493,Artists' books New York (State) New York 20th century. rbgenr,,Artists' books,"New York (State) New York 20th century, rbgenr",0.88,
494,Artists' books New York (State) New York 21s century. rbgenr,,Artists' books,"New York (State) New York 21s century, rbgenr",0.60,typo in original (21s -> 21st)
495,Artists' books New York (state) New York 21st century rbgenr,,Artists' books,"New York (State) New York 21st century, rbgenr",0.88,
496,Artists' books New York (State) New York 21st century. rbgenr,,Artists' books,"New York (State) New York 21st century, rbgenr",0.88,
497,Artists books New York (State) New York. rbgenr,,Artists' books,"New York (State) New York, rbgenr",0.75,minor variant (Artists books -> Artists' books)
498,Artists' books New York (State) New York. rbgenr,,Artists' books,"New York (State) New York, rbgenr",0.88,
499,Artists' books New York (State) rbgenr,,Artists' books,"New York (State), rbgenr",0.88,
500,Artists' books New York (State) Rhinebeck 1986. rbgenr,,Artists' books,"New York (State) Rhinebeck 1986, rbgenr",0.88,
501,Artists' books New York (State) Rhinebeck 1999. rbgenr,,Artists' books,"New York (State) Rhinebeck 1999, rbgenr",0.88,
502,Artists' books New York Rochester 2010. rbgenr,,Artists' books,"New York Rochester 2010, rbgenr",0.88,
503,Artists' books New York Rochester. rbgenr,,Artists' books,"New York Rochester, rbgenr",0.88,
504,Artists' books Nicaragua 21st century. rbgenr,,Artists' books,"Nicaragua 21st century, rbgenr",0.88,
505,Artists' books North Carolina 2019. rbgenr,,Artists' books,"North Carolina 2019, rbgenr",0.88,
506,Artists' books North Carolina Boone 2015. rbgenr,,Artists' books,"North Carolina Boone 2015, rbgenr",0.88,
507,Artists' books North Carolina. rbgenr,,Artists' books,"North Carolina, rbgenr",0.88,
508,Artists' books Nova Scotia Halifax 1975. rbgenr,,Artists' books,"Nova Scotia Halifax 1975, rbgenr",0.88,
509,Artists' books Ohio. rbgenr,,Artists' books,"Ohio, rbgenr",0.88,
510,Artists' books Ontario Toronto 1973. rbgenr,,Artists' books,"Ontario Toronto 1973, rbgenr",0.88,
511,Artists' books Oregon 21st century. rbgenr,,Artists' books,"Oregon 21st century, rbgenr",0.88,
512,Artists' books Oregon Portland 2013. rbgenr,,Artists' books,"Oregon Portland 2013, rbgenr",0.88,
513,Artists' books Oregon Portland 2016. rbgenr,,Artists' books,"Oregon Portland 2016, rbgenr",0.88,
514,Artists' books Pennsylvania 2009. rbgenr,,Artists' books,"Pennsylvania 2009, rbgenr",0.88,
515,Artists' books Pennsylvania Philadelphia 2001. rbgenr,,Artists' books,"Pennsylvania Philadelphia 2001, rbgenr",0.88,
516,Artists' books Pennsylvania Philadelphia 2020. rbgenr,,Artists' books,"Pennsylvania Philadelphia 2020, rbgenr",0.88,
517,Artists' books Pennsylvania Philadelphia. rbgenr,,Artists' books,"Pennsylvania Philadelphia, rbgenr",0.88,
518,Artists' books rbgenr,,Artists' books,rbgenr,0.90,
519,Artists' books rbmscv,,Artists' books,rbmscv,0.95,
520,Artists' books Rhode Island Providence. rbgenr,,Artists' books,"Rhode Island Providence, rbgenr",0.88,
521,Artists' books Saskatchewan 2012. rbgenr,,Artists' books,"Saskatchewan 2012, rbgenr",0.88,
522,Artists' books Spain 21st century. rbgenr,,Artists' books,"Spain 21st century, rbgenr",0.88,
523,Artists' books Spain Barcelona 2011. rbgenr,,Artists' books,"Spain Barcelona 2011, rbgenr",0.88,
524,Artists' books Switzerland 20th century. rbgenr,,Artists' books,"Switzerland 20th century, rbgenr",0.88,
525,Artists' books Tennessee Maryville 2016. rbgenr,,Artists' books,"Tennessee Maryville 2016, rbgenr",0.88,
526,Artists' books Texas Houston 2003. rbgenr,,Artists' books,"Texas Houston 2003, rbgenr",0.88,
527,Artists' books Texas San Antonio 2015. rbgenr,,Artists' books,"Texas San Antonio 2015, rbgenr",0.88,
528,Artists' books Texas San Antonio 21st century. rbgenr,,Artists' books,"Texas San Antonio 21st century, rbgenr",0.88,
529,Artists' books United States 1972. rbgenr,,Artists' books,"United States 1972, rbgenr",0.88,
530,Artists' books United States 2005. rbgenr,,Artists' books,"United States 2005, rbgenr",0.88,
531,Artists' books United States 2008. rbgenr,,Artists' books,"United States 2008, rbgenr",0.88,
532,Artists' books United States 2009. rbgenr,,Artists' books,"United States 2009, rbgenr",0.88,
533,Artists' books United States 2012. rbgenr,,Artists' books,"United States 2012, rbgenr",0.88,
534,Artists' books United States 2014. rbgenr,,Artists' books,"United States 2014, rbgenr",0.88,
535,Artists' books United States 2021 rbgenr,,Artists' books,"United States 2021, rbgenr",0.88,
536,Artists' books United States 2023. rbgenr,,Artists' books,"United States 2023, rbgenr",0.88,
537,Artists' books United States 20th century. rbgenr,,Artists' books,"United States 20th century, rbgenr",0.88,
538,Artists' books United States 21st century. rbgenr,,Artists' books,"United States 21st century, rbgenr",0.88,
539,Artists' books United States California 21st century. rbgenr,,Artists' books,"United States California 21st century, rbgenr",0.88,
540,Artists' books United States Georgia 21st century. rbgenr,,Artists' books,"United States Georgia 21st century, rbgenr",0.88,
541,Artists' books United States New York (State) New York 2007. rbgenr,,Artists' books,"United States New York (State) New York 2007, rbgenr",0.88,
542,Artists' books United States. rbgenr,,Artists' books,"United States, rbgenr",0.88,
543,Artists' books. rbgenr CtHT,,Artists' books,"rbgenr, CtHT",0.88,
544,Artists' books. rbmscv,,Artists' books,rbmscv,0.95,
545,Artists' books Utah Salt Lake City 2016. rbgenr,,Artists' books,"Utah Salt Lake City 2016, rbgenr",0.88,
546,Artists' books Venezuela Amazonas. rbgenr,,Artists' books,"Venezuela Amazonas, rbgenr",0.88,
547,Artists' books Vermont 20th century. rbgenr,,Artists' books,"Vermont 20th century, rbgenr",0.88,
548,Artists' books Vermont 21st century. rbgenr,,Artists' books,"Vermont 21st century, rbgenr",0.88,
549,Artists' books Vermont Newark 2007. rbgenr,,Artists' books,"Vermont Newark 2007, rbgenr",0.88,
550,Artists' books Vermont Newark. rbgenr,,Artists' books,"Vermont Newark, rbgenr",0.88,
551,Artists' books Virginia Charlottesville 2000. rbgenr,,Artists' books,"Virginia Charlottesville 2000, rbgenr",0.88,
552,Artists' books Virginia Farmville. rbgenr,,Artists' books,"Virginia Farmville, rbgenr",0.88,
553,Artists' books Virginia Richmond 1993. rbgenr,,Artists' books,"Virginia Richmond 1993, rbgenr",0.88,
554,Artists' books Washington (D.C.) 21st century rbgenr,,Artists' books,"Washington (D.C.) 21st century, rbgenr",0.88,
555,Artists' books Washington (State) 20th century. rbgenr,,Artists' books,"Washington (State) 20th century, rbgenr",0.88,
556,Artists' books Washington (State) 21st century. rbgenr,,Artists' books,"Washington (State) 21st century, rbgenr",0.88,
557,Artists' books Washington (State) Bellingham 2017. rbgenr,,Artists' books,"Washington (State) Bellingham 2017, rbgenr",0.88,
558,Artists' books Washington (State) Olympia 21st century. rbgenr,,Artists' books,"Washington (State) Olympia 21st century, rbgenr",0.88,
559,Artists' books Washington (State) rbgenr,,Artists' books,"Washington (State), rbgenr",0.88,
560,Artist's books Washington (State) Tacoma 2018. rbgenr,,Artists' books,"Washington (State) Tacoma 2018, rbgenr",0.75,variant (Artist's -> Artists')
561,Artists' books Washington (State) Tacoma. rbgenr,,Artists' books,"Washington (State) Tacoma, rbgenr",0.88,
562,Artists' books Washington (State) Walla Walla 21st century. rbgenr,,Artists' books,"Washington (State) Walla Walla 21st century, rbgenr",0.88,
563,Artists' books Wisconsin Madison. rbgenr,,Artists' books,"Wisconsin Madison, rbgenr",0.88,
564,Artists' books Wisconsin Milwaukee 2014. rbgenr,,Artists' books,"Wisconsin Milwaukee 2014, rbgenr",0.88,
565,Artists' books Wisconsin Milwaukee 2022. rbgenr,,Artists' books,"Wisconsin Milwaukee 2022, rbgenr",0.88,
566,Artists' books Wisconsin Stockholm 2021. rbgenr,,Artists' books,"Wisconsin Stockholm 2021, rbgenr",0.70,possible metadata mismatch (Stockholm?)
567,Artists' books Wisconsin Stockholm 2021. rbmscv,,Artists' books,"Wisconsin Stockholm 2021, rbmscv",0.70,
568,Artists' books Wisconsin Waukesha 2018. rbgenr,,Artists' books,"Wisconsin Waukesha 2018, rbgenr",0.88,
569,Artists' books. California Novato 2013. rbgenr,,Artists' books,"California Novato 2013, rbgenr",0.88,
570,Artists' books. New York (State) 21st century rbgenr,,Artists' books,"New York (State) 21st century, rbgenr",0.88,
571,Artists books. rbgenr,,Artists' books,rbgenr,0.75,minor variant (Artists books -> Artists' books)
572,Artists' books. rbgenr,,Artists' books,rbgenr,0.95,
573,Artist's books. rbgenr,,Artists' books,rbgenr,0.75,variant (Artist's -> Artists')
574,Artists' books. rbgenr CtW,,Artists' books,"rbgenr, CtW",0.88,
575,Artists' books. rbmscv,,Artists' books,rbmscv,0.95,
576,Artists' books. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00146,,Artists' books,"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00146",0.92,
577,Artists' books. rbpub,,Artists' books,rbpub,0.88,
578,Artists? books. rbmscv,,Artists' books,rbmscv,0.60,uncertain punctuation (Artists?)
579,Artists'books. rbmscv,,Artists' books,rbmscv,0.60,missing space variant
580,atists' books. rbmscv,,Artists' books,rbmscv,0.60,typo in original (atists')
581,Atlases (Geographic) 1794. rbgenr,,Atlases (Geographic),"1794, rbgenr",1.00,
582,Atlases (Geographic) 1794. rbmscv,,Atlases (Geographic),"1794, rbmscv",1.00,
583,Atlases (Geographic) 1796. rbgenr,,Atlases (Geographic),"1796, rbgenr",1.00,
584,Atlases (Geographic) 1796. rbmscv,,Atlases (Geographic),"1796, rbmscv",1.00,
585,Atlases (Geographic) 1800. rbgenr,,Atlases (Geographic),"1800, rbgenr",1.00,
586,Atlases (Geographic) 1800. rbmscv,,Atlases (Geographic),"1800, rbmscv",1.00,
587,Atlases (Geographic) 1865. rbgenr,,Atlases (Geographic),"1865, rbgenr",1.00,
588,Atlases (Geographic) 21st century. rbgenr,,Atlases (Geographic),"21st century, rbgenr",0.90,
589,Atlases (Geographic) rbgenr,,Atlases (Geographic),rbgenr,1.00,
590,Atlases (Geographic) rbmscv,,Atlases (Geographic),rbmscv,1.00,
591,Atlases (Geographic) rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00161,,Atlases (Geographic),"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00161",0.92,
592,Atlases (Scientific) rbgenr,,Atlases (Scientific),rbgenr,1.00,
593,Auction catalogs. rbgenr,,Auction catalogs,rbgenr,1.00,
594,Auction catalogues 1873 06 03-06. rbgenr,,Auction catalogs,"1873-06-03–06, rbgenr",0.88,
595,Auction catalogues New York New York 20th century. rbgenr,,Auction catalogs,"New York New York 20th century, rbgenr",0.88,
596,Auction catalogues. rbgenr,,Auction catalogs,rbgenr,1.00,
597,Authentication (Publishing) England London 1773. rbpub,,Authentication,"(Publishing) England London 1773, rbpub",0.85,
