id,655 - Local Param 04,status,updated_term,extraneous_text,confidence,error
1207,Labels (Provenance) England 19th century. rbprov MMeT,matched,Labels (Provenance),"England 19th century; rbprov, MMeT",0.95,
1208,Labels (Provenance) rbprov MMeT,matched,Labels (Provenance),"rbprov, MMeT",0.95,
1209,Laid papers (Paper) rbpap,matched,Laid papers,rbpap,1,
1210,Large paper printings (Printing) England London 18th century. rbpri,matched,Large paper printings,(Printing) England London 18th century; rbpri,1,
1211,Large paper printings (Printing) England London 19th century. rbpri,matched,Large paper printings,(Printing) England London 19th century; rbpri,1,
1212,Large paper printings (Printing) rbpri PPT,matched,Large paper printings,"(Printing); rbpri, PPT",0.9,
1213,Laws. rbgenr,matched,Laws,rbgenr,1,
1214,Leaf books (Genre). rbgenr,matched,Leaf books,rbgenr,1,
1215,Leaf books 20th century. rbgenr,matched,Leaf books,20th century; rbgenr,1,
1216,Leaf books 20th century. rbmscv,matched,Leaf books,20th century; rbmscv,1,
1217,Leaf books. rbgenr,matched,Leaf books,rbgenr,1,
1218,Leaf books. rbmscv,matched,Leaf books,rbmscv,1,
1219,Leather bindings (Binding) 16th century. rbbin MMeT,matched,Leather bindings,"(Binding) 16th century; rbbin, MMeT",1,
1220,Leather bindings (Binding) 19th century. rbbin,matched,Leather bindings,(Binding) 19th century; rbbin,1,
1221,Leather bindings (Binding) rbbin,matched,Leather bindings,(Binding); rbbin,1,
1222,Leather bindings (Binding) rbbin MMeT,matched,Leather bindings,"(Binding); rbbin, MMeT",1,
1223,Leather bindings. rbmscv,matched,Leather bindings,rbmscv,1,
1224,Leather bindings. rbmscv MMeT,matched,Leather bindings,"rbmscv, MMeT",0.95,
1225,Leather blindings. rbmscv MMeT,matched,Leather bindings,"rbmscv, MMeT",0.6,typo in source ('blindings'???'bindings')
1226,Lectures 20th century. rbgenr,matched,Lectures,20th century; rbgenr,1,
1227,Lectures Massachusetts Boston 20th century. rbgenr,matched,Lectures,Massachusetts Boston 20th century; rbgenr,0.95,
1228,Lectures. rbgenr,matched,Lectures,rbgenr,1,
1229,Lectures. rbmscv,matched,Lectures,rbmscv,1,
1230,Legal instruments England London 17th century. rbgenr,matched,Legal instruments,England London 17th century; rbgenr,1,
1231,Legal petitions. rbgenr,matched,Legal petitions,rbgenr,1,
1232,Legislative addresses 1789. rbmscv,matched,Legislative addresses,1789; rbmscv,1,
1233,Legislative proceedings. rbgenr,matched,Legislative proceedings,rbgenr,1,
1234,Lettering pieces (Binding) rbbin,matched,Lettering pieces,(Binding); rbbin,1,
1235,Lettering pieces (Binding) rbbin MMeT,matched,Lettering pieces,"(Binding); rbbin, MMeT",0.95,
1236,Lettering pieces (Bindings) rbbin MMeT,matched,Lettering pieces,"(Bindings); rbbin, MMeT",0.95,
1237,Lettering pieces rbmscv MMeT,matched,Lettering pieces,"rbmscv, MMeT",0.9,
1238,Lettering pieces. rbmscv MMeT,matched,Lettering pieces,"rbmscv, MMeT",0.9,
1239,Lettering pieces.. rbmscv MMeT,matched,Lettering pieces,"rbmscv, MMeT",0.85,formatting irregularity
1240,Letterpress types (Type evidence) rbtyp,matched,Letterpress types,rbtyp,1,
1241,Letters (Correspondence) rbgenr,matched,Letters,(Correspondence); rbgenr,1,
1242,Letters 1913. rbgenr,matched,Letters,1913; rbgenr,1,
1243,Letters 1956. rbgenr,matched,Letters,1956; rbgenr,1,
1244,Letters 19th century. rbgenr,matched,Letters,19th century; rbgenr,1,
1245,Letters California Represa 20th century. rbgenr,matched,Letters,California Represa 20th century; rbgenr,0.9,
1246,Letters England 18th century. rbgenr,matched,Letters,England 18th century; rbgenr,1,
1247,Letters England 18th century. rbmscv,matched,Letters,England 18th century; rbmscv,1,
1248,Letters Italy Venice 16th century. rbgenr,matched,Letters,Italy Venice 16th century; rbgenr,1,
1249,Letters New York (State) New York 19th century. rbmscv,matched,Letters,New York (State) New York 19th century; rbmscv,0.95,
1250,Letters United States 21st century. rbgenr,matched,Letters,United States 21st century; rbgenr,0.95,
1251,Letters. rbgenr,matched,Letters,rbgenr,1,
1252,Letters. rbmscv,matched,Letters,rbmscv,1,
1253,Library catalogs England London. rbgenr,matched,Library catalogs,England London; rbgenr,1,
1254,Library catalogues England 16th century. rbgenr,matched,Library catalogs,England 16th century; rbgenr,1,
1255,Library catalogues England Cambridge 19th century. rbgenr,matched,Library catalogs,England Cambridge 19th century; rbgenr,1,
1256,Library catalogues. rbgenr,matched,Library catalogs,rbgenr,1,
1257,Library copies (Provenance) England. rbprov MMeT,matched,Library copies (Provenance),"England; rbprov, MMeT",0.95,
1258,Library copies (Provenance) rbprov MMeT,matched,Library copies (Provenance),"rbprov, MMeT",0.95,
1259,Librettos. rbgenr,matched,Librettos,rbgenr,1,
1260,Libri amicorum,no_match,,Libri amicorum,0,not in rbms_terms.json
1261,Limb bindings (Binding) rbbin MMeT,matched,Limb bindings,"(Binding); rbbin, MMeT",1,
1262,Limitation statement (Publishing) rbpub,matched,Limitation statements,(Publishing); rbpub,0.95,
1263,Limitation statements (Printing) California Berkeley. rbpri,matched,Limitation statements,(Printing) California Berkeley; rbpri,0.95,
1264,Limitation statements (Printing) Colorado 21st century. rbpri,matched,Limitation statements,(Printing) Colorado 21st century; rbpri,0.95,
1265,Limitation statements (Printing) England London 1831. rbpri,matched,Limitation statements,(Printing) England London 1831; rbpri,0.95,
1266,Limitation statements (Printing) New York (State) New York (City) 1929. rbpri,matched,Limitation statements,(Printing) New York (State) New York (City) 1929; rbpri,0.95,
1267,Limitation statements (Printing) New York (State) New York (City) 1940. rbpri,matched,Limitation statements,(Printing) New York (State) New York (City) 1940; rbpri,0.95,
1268,Limitation statements (Printing) rbpri,matched,Limitation statements,(Printing); rbpri,1,
1269,Limitation statements (Printing) United States 1982. rbpri,matched,Limitation statements,(Printing) United States 1982; rbpri,0.95,
1270,Limitation statements (Printing) United States 20th century. rbpri,matched,Limitation statements,(Printing) United States 20th century; rbpri,0.95,
1271,Limitation statements (Printing) United States California Santa Barbara 1979. rbpri,matched,Limitation statements,(Printing) United States California Santa Barbara 1979; rbpri,0.95,
1272,Limitation statements (Printing). rbpri,matched,Limitation statements,rbpri,0.95,
1273,Limitation statements (Publishing) Connecticut Stamford 1941. rbpub,matched,Limitation statements,(Publishing) Connecticut Stamford 1941; rbpub,0.95,
1274,Limitation statements (Publishing) England 20th century. rbpub,matched,Limitation statements,(Publishing) England 20th century; rbpub,0.95,
1275,Limitation statements (Publishing) England London 20th century. rbpub UkReU,matched,Limitation statements,"(Publishing) England London 20th century; rbpub, UkReU",0.9,
1276,Limitation statements (Publishing) France Paris 20th century. rbpub,matched,Limitation statements,(Publishing) France Paris 20th century; rbpub,0.95,
1277,Limitation statements (Publishing) Great Britain 19th century. rbpub,matched,Limitation statements,(Publishing) Great Britain 19th century; rbpub,0.95,
1278,Limitation statements (Publishing) Great Britain 20th century. rbpub,matched,Limitation statements,(Publishing) Great Britain 20th century; rbpub,0.95,
1279,Limitation statements (Publishing) Ireland Dublin 20th century. rbpub,matched,Limitation statements,(Publishing) Ireland Dublin 20th century; rbpub,0.95,
1280,Limitation statements (Publishing) Maine Portland 1912. rbpub,matched,Limitation statements,(Publishing) Maine Portland 1912; rbpub,0.95,
1281,Limitation statements (Publishing) New York (State) 20th century. rbpub,matched,Limitation statements,(Publishing) New York (State) 20th century; rbpub,0.95,
1282,Limitation statements (Publishing) New York (State) Brooklyn 2017. rbgenr,matched,Limitation statements,(Publishing) New York (State) Brooklyn 2017; rbgenr,0.85,
1283,Limitation statements (Publishing) New York (State) New York 1909. rbpub,matched,Limitation statements,(Publishing) New York (State) New York 1909; rbpub,0.95,
1284,Limitation statements (Publishing) New York (State) New York 1936. rbpub,matched,Limitation statements,(Publishing) New York (State) New York 1936; rbpub,0.95,
1285,Limitation statements (Publishing) New York (State) New York 1984. rbpub,matched,Limitation statements,(Publishing) New York (State) New York 1984; rbpub,0.95,
1286,Limitation statements (Publishing) New York (State) New York 2016. rbpub,matched,Limitation statements,(Publishing) New York (State) New York 2016; rbpub,0.95,
1287,Limitation statements (Publishing) New York (State) New York 20th century. rbpub,matched,Limitation statements,(Publishing) New York (State) New York 20th century; rbpub,0.95,
1288,Limitation statements (Publishing) New York New York 1932. rbpub,matched,Limitation statements,(Publishing) New York New York 1932; rbpub,0.95,
1289,Limitation statements (Publishing) New York New York 1950. rbpub,matched,Limitation statements,(Publishing) New York New York 1950; rbpub,0.95,
1290,Limitation statements (Publishing) rbmscv,matched,Limitation statements,rbmscv,0.95,
1291,Limitation statements (Publishing) rbpub E8W,matched,Limitation statements,"rbpub, E8W",0.85,
1292,Limitation statements (Publishing) Ukraine 21st century. rbpub,matched,Limitation statements,(Publishing) Ukraine 21st century; rbpub,0.9,
1293,Limitation statements (Publishing) United States 20th century. rbpub,matched,Limitation statements,(Publishing) United States 20th century; rbpub,0.95,
1294,Limitation statements (Publishing). rbpub,matched,Limitation statements,rbpub,0.95,
1295,Limitation statements rbmscv,matched,Limitation statements,rbmscv,0.9,
1296,Limitation statements. rbmscv,matched,Limitation statements,rbmscv,0.9,
1297,Limitation statements. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv01531,matched,Limitation statements,"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv01531",0.92,
1298,Limitation statements. rbpri,matched,Limitation statements,rbpri,0.85,
1299,Limitation statements. rbpub,matched,Limitation statements,rbpub,0.85,
1300,Limitations statements (Publishing) 20th century. rbpub,matched,Limitation statements,20th century; rbpub,0.8,
1301,Limited editions (Publishing) Japan 20th century. rbpub,matched,Limited editions,(Publishing) Japan 20th century; rbpub,0.95,
1302,Limited editions (Publishing) rbpub,matched,Limited editions,(Publishing); rbpub,1,
1303,Limited editions (Publishing) United States 20th century. rbpub,matched,Limited editions,(Publishing) United States 20th century; rbpub,0.95,
1304,Limp bindings (Binding) 16th century. rbbin MMeT,matched,Limp bindings,"(Binding) 16th century; rbbin, MMeT",1,
1305,Limp bindings (Binding) rbbin MMeT,matched,Limp bindings,"(Binding); rbbin, MMeT",1,
1306,Limp bindings (Binding) Italy 17th century. rbbin MMeT,matched,Limp bindings,"(Binding) Italy 17th century; rbbin, MMeT",1,
1307,Limp bindings (Binding) rbbin,matched,Limp bindings,(Binding); rbbin,1,
1308,Limp bindings (Binding) rbbin MMeT,matched,Limp bindings,"(Binding); rbbin, MMeT",1,
1309,Limp bindings. rbmscv MMeT,matched,Limp bindings,"rbmscv, MMeT",0.95,
1310,Literary hoaxes. rbgenr,matched,Literary hoaxes,rbgenr,1,
1311,Literature of prejudice 19th century. rbgenr,matched,Prejudicial works,19th century; rbgenr,0.75,mapped to broad RBMS term 'Prejudicial works'
1312,Literature of prejudice. rbgenr,matched,Prejudicial works,rbgenr,0.7,
1313,Little magazines Australia. rbgenr,matched,Little magazines,Australia; rbgenr,1,
1314,Little magazines England. rbgenr,matched,Little magazines,England; rbgenr,1,
1315,Little magazines Great Britain. rbgenr,matched,Little magazines,Great Britain; rbgenr,1,
1316,Little magazines United States. rbgenr,matched,Little magazines,United States; rbgenr,1,
1317,Little magazines. rbgenr,matched,Little magazines,rbgenr,1,
1318,Little magazines. rbmscv,matched,Little magazines,rbmscv,1,
1319,Liturgical books. rbgenr,matched,Liturgical books,rbgenr,1,
1320,Livres d'artistes. rbgenr,matched,Livres d???artistes,rbgenr,1,
1321,Local histories. rbgenr,matched,Local histories,rbgenr,1,
1322,Loop-and-ball fastenings (Binding) rbbin MMeT,matched,Loop-and-ball fastenings,"(Binding); rbbin, MMeT",1,
1323,Machine-made papers (Paper) rbmscv,matched,Machine-made papers,(Paper); rbmscv,1,
1324,Machine-made papers (Paper) rbpap,matched,Machine-made papers,(Paper); rbpap,1,
1325,Manicules (Provenance) rbprov MMeT,matched,Manicules,"(Provenance); rbprov, MMeT",1,
1326,Manuals (Handbooks) 2016. rbgenr,matched,Manuals (Handbooks),2016; rbgenr,1,
1327,Manuals (Handbooks) England London 18th century rbgenr,matched,Manuals (Handbooks),England London 18th century; rbgenr,0.95,
1328,Manuals (Handbooks) rbgenr,matched,Manuals (Handbooks),rbgenr,1,
1329,Manuals (Handbooks). rbgenr,matched,Manuals (Handbooks),rbgenr,1,
1330,Manufacturers' catalogs New Jersey Princeton 20th century. rbgenr,matched,Manufacturers' catalogs,New Jersey Princeton 20th century; rbgenr,1,
1331,Manufacturers' catalogs. rbgenr,matched,Manufacturers' catalogs,rbgenr,1,
1332,Manuscript waste (Binding) rbbin,matched,Manuscript waste,(Binding); rbbin,1,
1333,Manuscript waste (Binding) rbbin MMeT,matched,Manuscript waste,"(Binding); rbbin, MMeT",1,
1334,Maps 19th century. rbgenr,matched,Maps,19th century; rbgenr,1,
1335,Maps 20th century. rbgenr,matched,Maps,20th century; rbgenr,1,
1336,Maps Atlantic Ocean. rbgenr,matched,Maps,Atlantic Ocean; rbgenr,1,
1337,Maps Canary Islands. rbgenr,matched,Maps,Canary Islands; rbgenr,1,
1338,Maps Central America. rbgenr,matched,Maps,Central America; rbgenr,1,
1339,Maps Connecticut New Haven. rbmscv,matched,Maps,Connecticut New Haven; rbmscv,1,
1340,Maps Egypt. rbgenr,matched,Maps,Egypt; rbgenr,1,
1341,Maps England London. rbgenr,matched,Maps,England London; rbgenr,1,
1342,Maps Florida. rbmscv,matched,Maps,Florida; rbmscv,1,
1343,Maps Greenland. rbgenr,matched,Maps,Greenland; rbgenr,1,
1344,Maps Hispaniola. rbgenr,matched,Maps,Hispaniola; rbgenr,1,
1345,Maps Jerusalem. rbgenr,matched,Maps,Jerusalem; rbgenr,1,
1346,Maps Jerusalem. rbmscv,matched,Maps,Jerusalem; rbmscv,1,
1347,Maps Kentucky. rbgenr,matched,Maps,Kentucky; rbgenr,1,
1348,Maps Madeira Islands. rbgenr,matched,Maps,Madeira Islands; rbgenr,1,
1349,Maps Maine. rbgenr,matched,Maps,Maine; rbgenr,1,
1350,Maps Massachusetts Hadley. rbgenr,matched,Maps,Massachusetts Hadley; rbgenr,1,
1351,Maps Massachusetts Hadley. rbmscv,matched,Maps,Massachusetts Hadley; rbmscv,1,
1352,Maps Mexico. rbgenr,matched,Maps,Mexico; rbgenr,1,
1353,Maps Middle East. rbgenr,matched,Maps,Middle East; rbgenr,1,
1354,Maps Middle West. rbgenr,matched,Maps,Middle West; rbgenr,1,
1355,Maps New York (State) New York. rbgenr,matched,Maps,New York (State) New York; rbgenr,1,
1356,Maps New York (State) New York. rbmscv,matched,Maps,New York (State) New York; rbmscv,1,
1357,Maps North America. rbgenr,matched,Maps,North America; rbgenr,1,
1358,Maps North America. rbmscv,matched,Maps,North America; rbmscv,1,
1359,"Maps Northwest, Pacific. rbgenr",matched,Maps,"Northwest, Pacific; rbgenr",1,
1360,"Maps Northwest, Pacific. rbmscv",matched,Maps,"Northwest, Pacific; rbmscv",1,
1361,Maps Nova Scotia Louisbourg. rbgenr,matched,Maps,Nova Scotia Louisbourg; rbgenr,1,
1362,Maps Ohio River Valley. rbgenr,matched,Maps,Ohio River Valley; rbgenr,1,
1363,Maps Ohio River Valley. rbmscv,matched,Maps,Ohio River Valley; rbmscv,1,
1364,Maps Ohio. rbgenr,matched,Maps,Ohio; rbgenr,1,
1365,Maps Palestine. rbmscv,matched,Maps,Palestine; rbmscv,1,
1366,Maps Pennsylvania Philadelphia. rbgenr,matched,Maps,Pennsylvania Philadelphia; rbgenr,1,
1367,Maps Scilley Isles. rbgenr,matched,Maps,Scilley Isles; rbgenr,1,
1368,Maps South America. rbgenr,matched,Maps,South America; rbgenr,1,
1369,Maps Southern States. rbmscv,matched,Maps,Southern States; rbmscv,1,
1370,Maps United States 1780-1790. rbgenr,matched,Maps,United States 1780-1790; rbgenr,1,
1371,Maps United States. rbgenr,matched,Maps,United States; rbgenr,1,
1372,Maps United States. rbmscv,matched,Maps,United States; rbmscv,1,
1373,Maps Virginia Yorktown. rbgenr,matched,Maps,Virginia Yorktown; rbgenr,1,
1374,Maps World. rbgenr,matched,Maps,World; rbgenr,1,
1375,Maps. rbgenr,matched,Maps,rbgenr,1,
1376,Maps. rbmscv,matched,Maps,rbmscv,1,
1377,Marbled calf bindings (Binding) rbbin MMeT,matched,Marbled calf bindings,"(Binding); rbbin, MMeT",1,
1378,Marbled edges (Binding) rbbin MMeT,matched,Marbled edges,"(Binding); rbbin, MMeT",1,
1379,Marbled edges. rbmscv MMeT,matched,Marbled edges,"rbmscv, MMeT",0.95,
1380,Marbled endpapers (Paper) England 19th century. rbpap StSaUL,matched,Marbled endpapers,"(Paper) England 19th century; rbpap, StSaUL",0.95,
1381,Marbled paper bindings (Binding) 19th century. rbbin MMeT,matched,Marbled paper bindings,"(Binding) 19th century; rbbin, MMeT",1,
1382,Marbled paper bindings (Binding) rbbin,matched,Marbled paper bindings,(Binding); rbbin,1,
1383,Marbled paper bindings (Binding) rbbin MMeT,matched,Marbled paper bindings,"(Binding); rbbin, MMeT",1,
1384,Marbled paper bindings (Binding). rbbin MMeT,matched,Marbled paper bindings,"rbbin, MMeT",0.95,
1385,Marbled paper bindings. rbmscv,matched,Marbled paper bindings,rbmscv,1,
1386,Marbled paper bindings. rbmscv MMeT,matched,Marbled paper bindings,"rbmscv, MMeT",0.95,
1387,Marbled papers (Binding) 17th century. rbbin MMeT,matched,Marbled papers,"(Binding) 17th century; rbbin, MMeT",1,
1388,Marbled papers (Binding) rbbin,matched,Marbled papers,(Binding); rbbin,1,
1389,Marbled papers (Binding) rbbin MMeT,matched,Marbled papers,"(Binding); rbbin, MMeT",1,
1390,Marbled papers (Paper) England 19th century. rbpap StSaUL,matched,Marbled papers,"(Paper) England 19th century; rbpap, StSaUL",1,
1391,Marbled papers (Paper) Italy 16th century. rbpap MMeT,matched,Marbled papers,"(Paper) Italy 16th century; rbpap, MMeT",1,
1392,Marbled papers (Paper) rbpap,matched,Marbled papers,(Paper); rbpap,1,
1393,Marbled papers (Paper) rbpap MMeT,matched,Marbled papers,"(Paper); rbpap, MMeT",0.95,
1394,Marbled papers (Paper) stsaul. rbpap,matched,Marbled papers,(Paper) stsaul; rbpap,0.85,
1395,Marbled papers (Paper). rbpap,matched,Marbled papers,rbpap,1,
1396,Marbled papers (Paper). rbpap StSaUL,matched,Marbled papers,"rbpap, StSaUL",0.9,
1397,Marbled papers. rbmscv,matched,Marbled papers,rbmscv,1,
1398,Marbled papers. rbmscv MMeT,matched,Marbled papers,"rbmscv, MMeT",0.95,
1399,Marbled papers. rbpap,matched,Marbled papers,rbpap,1,
1400,Marginalia (Provenance) rbprov,matched,Marginalia,(Provenance); rbprov,1,
1401,Maritime journals 19th century. rbgenr,matched,Maritime journals,19th century; rbgenr,1,
1402,Markings (Provenance) rbprov MMeT,matched,Markings,"(Provenance); rbprov, MMeT",1,
1403,Mary Hewitt Collection. rbgenr,no_match,,rbgenr; 'Mary Hewitt Collection' appears to be a collection/donor name,0,collection name ??? no RBMS term
1404,Masques. rbgenr,matched,Masques,rbgenr,1,
1405,Maxims Italy 2010. rbgenr,matched,Maxims,Italy 2010; rbgenr,0.95,
1406,Maxims rbgenr,matched,Maxims,rbgenr,1,
1407,Medical formularies 18th century. rbgenr,matched,Medical formularies,18th century; rbgenr,1,
1408,Medical formularies England London 17th century. rbgenr,matched,Medical formularies,England London 17th century; rbgenr,1,
1409,Medical formularies England London 18th century. rbgenr,matched,Medical formularies,England London 18th century; rbgenr,1,
1410,Medical formularies France Paris 17th century. rbgenr,matched,Medical formularies,France Paris 17th century; rbgenr,1,
1411,Medical formularies. rbgenr,matched,Medical formularies,rbgenr,1,
1412,Membership lists United States 20th century. rbgenr,matched,Membership lists,United States 20th century; rbgenr,0.95,
1413,Memoirs England London 18th century. rbgenr,matched,Memoirs,England London 18th century; rbgenr,1,
1414,Memoirs United States 20th century. rbgenr,matched,Memoirs,United States 20th century; rbgenr,1,
1415,Memoirs United States 20th century. rbmscv,matched,Memoirs,United States 20th century; rbmscv,1,
1416,Memoirs. rbgenr,matched,Memoirs,rbgenr,1,
1417,Memoirs. rbmscv,matched,Memoirs,rbmscv,1,
1418,Memoirs. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00851,matched,Memoirs,"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00851",0.92,
1419,Memorial works Massachusetts Boston 1884. rbgenr,matched,Memorial works,Massachusetts Boston 1884; rbgenr,1,
1420,Memorial works. rbgenr,matched,Memorial works,rbgenr,1,
1421,Memorials. rbgenr,matched,Memorials,rbgenr,1,
1422,Menus,no_match,,Menus,0,term not in rbms_terms.json
1423,Merchant manuals,no_match,,Merchant manuals,0,not present as exact RBMS term
1424,Metal clasps (Binding) 16th century. rbbin MMeT,matched,Metal clasps,"(Binding) 16th century; rbbin, MMeT",1,
1425,Metal types,no_match,,Metal types,0,not present as exact RBMS term
1426,Metamorphic pictures,no_match,,Metamorphic pictures,0,no exact RBMS term
1427,Mica papers,matched,Mica papers,,0.95,
1428,Middle Hill boards,no_match,,Middle Hill boards,0,no exact RBMS term
1429,Military histories,no_match,,Military histories,0,not in rbms_terms.json as given
1430,Military manuals,no_match,,Military manuals,0,term absent in rbms_terms.json
1431,Military orders,no_match,,Military orders,0,not in rbms_terms.json
1432,Military registers,matched,Military registers,,1,
1433,Military regulations Great Britain 18th century. rbgenr,matched,Military regulations,Great Britain 18th century; rbgenr,1,
1434,Military unit histories,no_match,,Military unit histories,0,not in rbms_terms.json
1435,Mill reams,no_match,,Mill reams,0,no RBMS term
1436,Miniature books (Printing) New York (N.Y.) 1990. rbpri,matched,Miniature books,(Printing) New York (N.Y.) 1990; rbpri,1,
1437,Miniature books (Printing) rbgenr,matched,Miniature books,(Printing); rbgenr,1,
1438,Miniature books (Printing) rbpri,matched,Miniature books,(Printing); rbpri,1,
1439,Miniature books rbgenr,matched,Miniature books,rbgenr,1,
1440,Miniature books. rbmscv,matched,Miniature books,rbmscv,1,
1441,Miniature books. rbpri,matched,Miniature books,rbpri,1,
1442,Miracle narratives,matched,Miracle narratives,,1,
1443,Miracle plays,no_match,,Miracle plays,0,not in rbms_terms.json
1444,Misogynistic works,matched,Prejudicial works,mapped from 'Misogynistic works' ??? 'Prejudicial works',0.7,approximate mapping
1445,Missals,matched,Missals,,1,
1446,Mitsumata fiber papers,no_match,,Mitsumata fiber papers,0,term not in rbms_terms.json (prefer no_match under rule B)
1447,Modern laid papers,matched,Modern laid papers,,1,
1448,Modern types,no_match,,Modern types,0,not in rbms_terms.json
1449,Moir?? doublures,no_match,,Moir?? doublures,0,not in rbms_terms.json
1450,Molded leather bindings,no_match,,Molded leather bindings,0,not in rbms_terms.json
1451,Monogrammed bindings,matched,Monogrammed bindings,,1,
1452,Monograms,no_match,,Monograms,0,not in rbms_terms.json as standalone
1453,Monotypes (Type),no_match,,Monotypes (Type),0,not in rbms_terms.json
1454,Morality plays,no_match,,Morality plays,0,not in rbms_terms.json
1455,Morocco bindings (Binding) rbbin,matched,Morocco bindings,(Binding); rbbin,1,
1456,Morocco bindings (Binding) rbbin MMeT,matched,Morocco bindings,"(Binding); rbbin, MMeT",1,
1457,Morocco bindings (Bindings) rbbin MMeT,matched,Morocco bindings,"(Bindings); rbbin, MMeT",0.95,
1458,Morocco bindings. rbmscv,matched,Morocco bindings,rbmscv,1,
1459,Morocco bindings. rbmscv MMeT,matched,Morocco bindings,"rbmscv, MMeT",0.95,
1460,Mosaic bindings,no_match,,Mosaic bindings,0,not in rbms_terms.json
1461,Mottled calf bindings (Binding) rbbin MMeT,matched,Mottled calf bindings,"(Binding); rbbin, MMeT",1,
1462,Mottled calf bindings (Bindings) rbbin MMeT,matched,Mottled calf bindings,"(Bindings); rbbin, MMeT",0.95,
1463,Mottled calf bindings. rbmscv MMeT,matched,Mottled calf bindings,"rbmscv, MMeT",0.95,
1464,Mould-made papers (Paper) rbpap,matched,Mould-made papers,(Paper); rbpap,1,
1465,Mould-made papers (Paper) United States 21st century. rbpap,matched,Mould-made papers,(Paper) United States 21st century; rbpap,0.95,
1466,Mould-made papers. rbmscv,matched,Mould-made papers,rbmscv,1,
1467,Mulberry fiber papers. rbmscv,matched,Mulberry fiber papers,rbmscv,1,
1468,Mulberry fibers (Paper) rbpap,matched,Mulberry fiber papers,(Paper); rbpap,1,
1469,Multiple color printing (Printing) rbpri,matched,Printing in multiple colors,(Printing); rbpri,0.9,
1470,Multiple color printing Belgium Brussels 1683. rbpap,matched,Printing in multiple colors,Belgium Brussels 1683; rbpap,0.85,
1471,Museum catalogues,matched,Museum catalogs,,0.9,
1472,Music types (Type evidence) rbtyp,matched,Music types,(Type evidence); rbtyp,1,
1473,Musical works England London 18th century. rbgenr,matched,Musical works,England London 18th century; rbgenr,1,
1474,Mystery and detective fiction 1932. rbgenr,matched,Mystery and detective fiction,1932; rbgenr,1,
1475,Mystery and detective fiction 1934. rbgenr,matched,Mystery and detective fiction,1934; rbgenr,1,
1476,Mystery and detective fiction 1935. rbgenr,matched,Mystery and detective fiction,1935; rbgenr,1,
1477,Mystery and detective fiction 1936. rbgenr,matched,Mystery and detective fiction,1936; rbgenr,1,
1478,Mystery and detective fiction 1937. rbgenr,matched,Mystery and detective fiction,1937; rbgenr,1,
1479,Mystery and detective fiction 1939. rbgenr,matched,Mystery and detective fiction,1939; rbgenr,1,
1480,Mystery and detective fiction California Los Angeles. rbgenr,matched,Mystery and detective fiction,California Los Angeles; rbgenr,0.95,
1481,Mystery and detective fiction California San Francisco Bay Area. rbgenr,matched,Mystery and detective fiction,California San Francisco Bay Area; rbgenr,0.95,
1482,"Mystery and detective fiction California, Northern. rbgenr",matched,Mystery and detective fiction,"California, Northern; rbgenr",1,
1483,"Mystery and detective fiction California, Southern. rbgenr",matched,Mystery and detective fiction,"California, Southern; rbgenr",1,
1484,Mystery and detective fiction California. rbgenr,matched,Mystery and detective fiction,California; rbgenr,0.95,
1485,Mystery and detective fiction Canada. rbgenr,matched,Mystery and detective fiction,Canada; rbgenr,0.95,
1486,Mystery and detective fiction Great Britain. rbgenr,matched,Mystery and detective fiction,Great Britain; rbgenr,0.95,
1487,Mystery and detective fiction Illinois Chicago. rbgenr,matched,Mystery and detective fiction,Illinois Chicago; rbgenr,0.95,
1488,Mystery and detective fiction Japan. rbgenr,matched,Mystery and detective fiction,Japan; rbgenr,0.95,
1489,Mystery and detective fiction Massachusetts. rbgenr,matched,Mystery and detective fiction,Massachusetts; rbgenr,0.95,
1490,Mystery and detective fiction Mexico. rbgenr,matched,Mystery and detective fiction,Mexico; rbgenr,0.95,
1491,Mystery and detective fiction New Mexico. rbgenr,matched,Mystery and detective fiction,New Mexico; rbgenr,0.95,
1492,Mystery and detective fiction New York (State) New York. rbgenr,matched,Mystery and detective fiction,New York (State) New York; rbgenr,0.95,
1493,Mystery and detective fiction New York (State) New York. rbmscv,matched,Mystery and detective fiction,New York (State) New York; rbmscv,0.95,
1494,Mystery and detective fiction Serbia. rbgenr,matched,Mystery and detective fiction,Serbia; rbgenr,0.95,
1495,Mystery and detective fiction United States. rbgenr,matched,Mystery and detective fiction,United States; rbgenr,0.95,
1496,Mystery and detective fiction. rbgenr,matched,Mystery and detective fiction,rbgenr,1,
1497,Mystery and detective fiction. rbmscv,matched,Mystery and detective fiction,rbmscv,1,
1498,Myths and legends Switzerland Basel 16th century. rbgenr,matched,Myths and legends,Switzerland Basel 16th century; rbgenr,1,
1499,Myths and legends. rbgenr,matched,Myths and legends,rbgenr,1,
1500,Myths and legends. rbmscv,matched,Myths and legends,rbmscv,1,
1501,Narratives 20th century Women authors. rbgenr,matched,Narratives,20th century Women authors; rbgenr,0.85,
1502,Narratives United States 20th century. rbgenr,matched,Narratives,United States 20th century; rbgenr,0.95,
1503,Narratives. rbgenr,matched,Narratives,rbgenr,1,
1504,National songs. rbgenr,matched,National songs,rbgenr,1,
